train samples: 1610
100%|██████████| 404/404 [1:02:27<00:00,  6.50s/it]
100%|██████████| 404/404 [1:02:28<00:00,  6.50s/it]
100%|██████████| 404/404 [1:02:28<00:00,  9.28s/it]
{'loss': 4.7639, 'grad_norm': 2.366642951965332, 'learning_rate': 0.00018, 'epoch': 0.05}
{'loss': 1.0023, 'grad_norm': 0.5973585844039917, 'learning_rate': 0.00019543147208121828, 'epoch': 0.1}
{'loss': 0.0578, 'grad_norm': 0.15107417106628418, 'learning_rate': 0.0001903553299492386, 'epoch': 0.15}
{'loss': 0.0119, 'grad_norm': 0.3018174469470978, 'learning_rate': 0.00018527918781725887, 'epoch': 0.2}
{'loss': 0.009, 'grad_norm': 0.045540887862443924, 'learning_rate': 0.0001802030456852792, 'epoch': 0.25}
{'loss': 0.009, 'grad_norm': 0.045497287064790726, 'learning_rate': 0.0001751269035532995, 'epoch': 0.3}
{'loss': 0.0069, 'grad_norm': 0.028394928202033043, 'learning_rate': 0.0001700507614213198, 'epoch': 0.35}
{'loss': 0.0062, 'grad_norm': 0.02081219106912613, 'learning_rate': 0.0001649746192893401, 'epoch': 0.4}
{'loss': 0.0064, 'grad_norm': 0.04905812069773674, 'learning_rate': 0.00015989847715736042, 'epoch': 0.45}
{'loss': 0.0083, 'grad_norm': 0.0371227040886879, 'learning_rate': 0.00015482233502538072, 'epoch': 0.5}
{'loss': 0.0071, 'grad_norm': 0.04646601527929306, 'learning_rate': 0.000149746192893401, 'epoch': 0.55}
{'loss': 0.0058, 'grad_norm': 0.02404959872364998, 'learning_rate': 0.00014467005076142133, 'epoch': 0.6}
{'loss': 0.0052, 'grad_norm': 0.03439809009432793, 'learning_rate': 0.00013959390862944163, 'epoch': 0.65}
{'loss': 0.0037, 'grad_norm': 0.02574397809803486, 'learning_rate': 0.00013451776649746192, 'epoch': 0.7}
{'loss': 0.0053, 'grad_norm': 0.02344406023621559, 'learning_rate': 0.00012944162436548224, 'epoch': 0.75}
{'loss': 0.0063, 'grad_norm': 0.028068983927369118, 'learning_rate': 0.00012436548223350254, 'epoch': 0.8}
{'loss': 0.0058, 'grad_norm': 0.014788826927542686, 'learning_rate': 0.00011928934010152283, 'epoch': 0.84}
{'loss': 0.0058, 'grad_norm': 0.022284483537077904, 'learning_rate': 0.00011421319796954316, 'epoch': 0.89}
{'loss': 0.0043, 'grad_norm': 0.016769373789429665, 'learning_rate': 0.00010913705583756346, 'epoch': 0.94}
{'loss': 0.0062, 'grad_norm': 0.046281635761260986, 'learning_rate': 0.00010406091370558374, 'epoch': 0.99}
{'loss': 0.0063, 'grad_norm': 0.025799240916967392, 'learning_rate': 9.898477157360407e-05, 'epoch': 1.04}
{'loss': 0.0054, 'grad_norm': 0.026218071579933167, 'learning_rate': 9.390862944162437e-05, 'epoch': 1.09}
{'loss': 0.0044, 'grad_norm': 0.024458620697259903, 'learning_rate': 8.883248730964467e-05, 'epoch': 1.14}
{'loss': 0.0043, 'grad_norm': 0.01827477291226387, 'learning_rate': 8.375634517766498e-05, 'epoch': 1.19}
{'loss': 0.0053, 'grad_norm': 0.04801816865801811, 'learning_rate': 7.868020304568529e-05, 'epoch': 1.24}
{'loss': 0.0053, 'grad_norm': 0.04972164332866669, 'learning_rate': 7.360406091370558e-05, 'epoch': 1.29}
{'loss': 0.0043, 'grad_norm': 0.02489044889807701, 'learning_rate': 6.852791878172589e-05, 'epoch': 1.34}
{'loss': 0.0049, 'grad_norm': 0.025024743750691414, 'learning_rate': 6.34517766497462e-05, 'epoch': 1.39}
{'loss': 0.0051, 'grad_norm': 0.042554210871458054, 'learning_rate': 5.83756345177665e-05, 'epoch': 1.44}
{'loss': 0.0063, 'grad_norm': 0.025502795353531837, 'learning_rate': 5.329949238578681e-05, 'epoch': 1.49}
{'loss': 0.0052, 'grad_norm': 0.03225165233016014, 'learning_rate': 4.822335025380711e-05, 'epoch': 1.54}
{'loss': 0.005, 'grad_norm': 0.030088098719716072, 'learning_rate': 4.3147208121827415e-05, 'epoch': 1.59}
{'loss': 0.0043, 'grad_norm': 0.03500381484627724, 'learning_rate': 3.8071065989847716e-05, 'epoch': 1.64}
{'loss': 0.004, 'grad_norm': 0.028126241639256477, 'learning_rate': 3.299492385786802e-05, 'epoch': 1.69}
{'loss': 0.0041, 'grad_norm': 0.01500710565596819, 'learning_rate': 2.7918781725888326e-05, 'epoch': 1.74}
{'loss': 0.0051, 'grad_norm': 0.028093570843338966, 'learning_rate': 2.284263959390863e-05, 'epoch': 1.79}
{'loss': 0.0054, 'grad_norm': 0.011422308161854744, 'learning_rate': 1.7766497461928935e-05, 'epoch': 1.83}
{'loss': 0.0047, 'grad_norm': 0.03295120969414711, 'learning_rate': 1.2690355329949238e-05, 'epoch': 1.88}
{'loss': 0.0056, 'grad_norm': 0.028953418135643005, 'learning_rate': 7.614213197969544e-06, 'epoch': 1.93}
{'loss': 0.0043, 'grad_norm': 0.009901200421154499, 'learning_rate': 2.5380710659898476e-06, 'epoch': 1.98}
TRAIN DONE in 62.5 min; metrics={'train_runtime': 3748.3136, 'train_samples_per_second': 0.859, 'train_steps_per_second': 0.108, 'total_flos': 2.354077787005747e+16, 'train_loss': 0.1494361783013596, 'epoch': 2.0}
